code,descripcion,tarifa_eur_h
O0001,Oficial 1ª construcción,24.5
O0002,Oficial 2ª construcción,21.8
O0003,Peón ordinario,19.4
O0004,Oficial 1ª albañil,24.5
O0005,Oficial 1ª encofrador,26.8
O0006,Oficial 1ª ferralla,26.8
O0007,Oficial 1ª electricista,26.4
O0008,Oficial 1ª fontanero,26.4
O0009,Oficial 1ª climatización,28.0
O0010,Oficial 1ª pintor,23.8
O0011,Oficial 1ª solador-alicatador,24.9
O0012,Oficial 1ª carpintero,25.5
O0013,Oficial 1ª cubiertas / impermeabilizaciones,25.8
O0014,Oficial 1ª aislamientos,24.2
O0015,Oficial 1ª PYL / yesero,24.2
